has electricity,has radio,has television,has refrigerator,has bicycle,has motorcycle/scooter,has car/truck,number of rooms used for sleeping,line number of head of household,sex of head of household,age of head of household,has telephone (land-line),share toilet with other households,items present: soap or detergent,"items present: ash, mud, sand",items present: none,anything done to water to make safe to drink,water usually treated by: boil,water usually treated by: add bleach/chlorine,water usually treated by: strain through a cloth,water usually treated by: use water filter,water usually treated by: solar disinfection,water usually treated by: let it stand and settle,water usually treated by: other,water usually treated by: don't know,number of households sharing toilet,household has separate room used as kitchen,has mobile telephone,has watch,has animal-drawn cart,has boat with a motor,has a computer,"owns livestock, herds or farm animals"
yes,no,yes,yes,no,no,yes,3,1,male,51,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,male,59,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,yes,2,1,male,62,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,yes,no,no,2,1,male,51,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,2,yes,yes,no,no,no,no,no
yes,no,yes,yes,yes,yes,no,2,1,female,38,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,yes,3,1,male,67,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,no,yes,yes,no,no,yes,2,1,male,40,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,2,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,female,50,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
yes,no,yes,yes,no,no,no,3,1,female,48,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,yes,no
yes,yes,yes,yes,no,no,yes,4,1,male,55,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,no,yes,yes,no,no,no,1,1,male,31,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,2,no,yes,yes,no,no,no,no
yes,no,yes,yes,no,no,yes,2,1,male,44,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,no,2,1,female,63,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,yes,yes,yes,5,1,female,57,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,yes,1,1,male,27,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,,no,yes,yes,no,no,yes,no
yes,yes,no,no,no,no,no,1,1,male,28,no,no,,,,no,no,no,no,no,no,no,no,no,,no,no,yes,no,no,no,no
no,no,no,no,no,no,no,2,1,female,50,no,,,,,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,no,yes,yes,no,no,no,1,1,male,35,no,yes,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,4,yes,yes,no,no,no,no,no
yes,yes,no,yes,no,no,no,2,1,male,52,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,no,1,1,male,58,no,yes,,,,no,no,no,no,no,no,no,no,no,2,yes,yes,no,no,no,no,yes
yes,no,no,no,no,no,no,1,1,male,26,no,yes,,,,no,no,no,no,no,no,no,no,no,3,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,1,1,male,23,no,yes,,,,no,no,no,no,no,no,no,no,no,3,no,yes,no,no,no,no,no
yes,yes,no,yes,no,no,yes,4,1,male,83,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,male,30,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,2,1,male,57,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,1,1,male,62,yes,no,no,no,yes: no cleansing agent observed,yes,no,no,no,yes,no,no,no,no,,yes,yes,yes,no,no,yes,yes
yes,yes,yes,yes,no,no,no,3,1,female,67,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,no
